Grip,Link,Strike,Type,Tot Damage,Atk Spd,Crit %,Stat %
Jayap,Ekwana Ruhang II,Cyath,polearm,100.0,47.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Dehtat,polearm,96.0,52.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Dokrahm,heavy blade,96.0,52.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Kronsh,polearm,114.0,43.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Mewan,polearm,114.0,43.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Ooltha,staff,100.0,47.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Plague Keewar,staff,107.0,45.0,0.13999999999999999,0.29000000000000004
Jayap,Ekwana Ruhang II,Plague Kripath,polearm,98.0,49.0,0.18,0.25
Jayap,Ekwana Ruhang II,Rabvee,hammer,114.0,43.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang II,Sepfahn,staff,100.0,47.0,0.16,0.27
Jayap,Ekwana Ruhang,Balla,staff,82.0,56.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Cyath,polearm,86.0,51.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Dehtat,polearm,82.0,56.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Dokrahm,heavy blade,82.0,56.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Kronsh,polearm,100.0,47.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Mewan,polearm,100.0,47.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Ooltha,staff,86.0,51.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Plague Keewar,staff,93.0,49.0,0.13999999999999999,0.29000000000000004
Jayap,Ekwana Ruhang,Plague Kripath,polearm,84.0,53.0,0.18,0.25
Jayap,Ekwana Ruhang,Rabvee,hammer,100.0,47.0,0.13999999999999999,0.25
Jayap,Ekwana Ruhang,Sepfahn,staff,86.0,51.0,0.16,0.27
Jayap,Jai II,Balla,staff,60.0,70.0,0.18,0.18
Jayap,Jai II,Cyath,polearm,64.0,65.0,0.18,0.18
Jayap,Jai II,Dehtat,polearm,60.0,70.0,0.18,0.18
Jayap,Jai II,Dokrahm,heavy blade,60.0,70.0,0.18,0.18
Jayap,Jai II,Kronsh,polearm,78.0,61.0,0.18,0.18
Jayap,Jai II,Mewan,polearm,78.0,61.0,0.18,0.18
Jayap,Jai II,Ooltha,staff,64.0,65.0,0.18,0.18
Jayap,Jai II,Plague Keewar,staff,71.0,63.0,0.18,0.22
Jayap,Jai II,Plague Kripath,polearm,62.0,67.0,0.22,0.18
Jayap,Jai II,Rabvee,hammer,78.0,61.0,0.18,0.18
Jayap,Jai II,Sepfahn,staff,64.0,65.0,0.2,0.2
Jayap,Jai,Balla,staff,64.0,65.0,0.18,0.18
Jayap,Jai,Cyath,polearm,68.0,60.0,0.18,0.18
Jayap,Jai,Dehtat,polearm,64.0,65.0,0.18,0.18
Jayap,Jai,Dokrahm,heavy blade,64.0,65.0,0.18,0.18
Jayap,Jai,Kronsh,polearm,82.0,56.0,0.18,0.18
Jayap,Jai,Mewan,polearm,82.0,56.0,0.18,0.18
Jayap,Jai,Ooltha,staff,68.0,60.0,0.18,0.18
Jayap,Jai,Plague Keewar,staff,75.0,58.0,0.18,0.22
Jayap,Jai,Plague Kripath,polearm,66.0,62.0,0.22,0.18
Jayap,Jai,Rabvee,hammer,82.0,56.0,0.18,0.18
Jayap,Jai,Sepfahn,staff,68.0,60.0,0.2,0.2
Jayap,Ruhang II,Balla,staff,96.0,52.0,0.18,0.18
Jayap,Ruhang II,Cyath,polearm,100.0,47.0,0.18,0.18
Jayap,Ruhang II,Dehtat,polearm,96.0,52.0,0.18,0.18
Jayap,Ruhang II,Dokrahm,heavy blade,96.0,52.0,0.18,0.18
Jayap,Ruhang II,Kronsh,polearm,114.0,43.0,0.18,0.18
Jayap,Ruhang II,Mewan,polearm,114.0,43.0,0.18,0.18
Jayap,Ruhang II,Ooltha,staff,100.0,47.0,0.18,0.18
Jayap,Ruhang II,Plague Keewar,staff,107.0,45.0,0.18,0.22
Jayap,Ruhang II,Plague Kripath,polearm,98.0,49.0,0.22,0.18
Jayap,Ruhang II,Rabvee,hammer,114.0,43.0,0.18,0.18
Jayap,Ruhang II,Sepfahn,staff,100.0,47.0,0.2,0.2
Jayap,Ruhang,Balla,staff,82.0,56.0,0.18,0.18
Jayap,Ruhang,Cyath,polearm,86.0,51.0,0.18,0.18
Jayap,Ruhang,Dehtat,polearm,82.0,56.0,0.18,0.18
Jayap,Ruhang,Dokrahm,heavy blade,82.0,56.0,0.18,0.18
Jayap,Ruhang,Kronsh,polearm,100.0,47.0,0.18,0.18
Jayap,Ruhang,Mewan,polearm,100.0,47.0,0.18,0.18
Jayap,Ruhang,Ooltha,staff,86.0,51.0,0.18,0.18
Jayap,Ruhang,Plague Keewar,staff,93.0,49.0,0.18,0.22
Jayap,Ruhang,Plague Kripath,polearm,84.0,53.0,0.22,0.18
Jayap,Ruhang,Rabvee,hammer,100.0,47.0,0.18,0.18
Jayap,Ruhang,Sepfahn,staff,86.0,51.0,0.2,0.2
Jayap,Vargeet II Jai,Balla,staff,64.0,65.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Cyath,polearm,68.0,60.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Dehtat,polearm,64.0,65.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Dokrahm,heavy blade,64.0,65.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Kronsh,polearm,82.0,56.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Mewan,polearm,82.0,56.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Ooltha,staff,68.0,60.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Plague Keewar,staff,75.0,58.0,0.32,0.14
Jayap,Vargeet II Jai,Plague Kripath,polearm,66.0,62.0,0.36,0.09999999999999999
Jayap,Vargeet II Jai,Rabvee,hammer,82.0,56.0,0.32,0.09999999999999999
Jayap,Vargeet II Jai,Sepfahn,staff,68.0,60.0,0.34,0.12000000000000001
Jayap,Vargeet II Ruhang,Balla,staff,82.0,56.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Cyath,polearm,86.0,51.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Dehtat,polearm,82.0,56.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Dokrahm,heavy blade,82.0,56.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Kronsh,polearm,100.0,47.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Mewan,polearm,100.0,47.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Ooltha,staff,86.0,51.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Plague Keewar,staff,93.0,49.0,0.32,0.14
Jayap,Vargeet II Ruhang,Plague Kripath,polearm,84.0,53.0,0.36,0.09999999999999999
Jayap,Vargeet II Ruhang,Rabvee,hammer,100.0,47.0,0.32,0.09999999999999999
Jayap,Vargeet II Ruhang,Sepfahn,staff,86.0,51.0,0.34,0.12000000000000001
Jayap,Vargeet Jai II,Balla,staff,60.0,70.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Cyath,polearm,64.0,65.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Dehtat,polearm,60.0,70.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Dokrahm,heavy blade,60.0,70.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Kronsh,polearm,78.0,61.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Mewan,polearm,78.0,61.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Ooltha,staff,64.0,65.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Plague Keewar,staff,71.0,63.0,0.25,0.18
Jayap,Vargeet Jai II,Plague Kripath,polearm,62.0,67.0,0.29000000000000004,0.13999999999999999
Jayap,Vargeet Jai II,Rabvee,hammer,78.0,61.0,0.25,0.13999999999999999
Jayap,Vargeet Jai II,Sepfahn,staff,64.0,65.0,0.27,0.16
Jayap,Vargeet Jai,Balla,staff,64.0,65.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Cyath,polearm,68.0,60.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Dehtat,polearm,64.0,65.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Dokrahm,heavy blade,64.0,65.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Kronsh,polearm,82.0,56.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Mewan,polearm,82.0,56.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Ooltha,staff,68.0,60.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Plague Keewar,staff,75.0,58.0,0.25,0.18
Jayap,Vargeet Jai,Plague Kripath,polearm,66.0,62.0,0.29000000000000004,0.13999999999999999
Jayap,Vargeet Jai,Rabvee,hammer,82.0,56.0,0.25,0.13999999999999999
Jayap,Vargeet Jai,Sepfahn,staff,68.0,60.0,0.27,0.16
Jayap,Vargeet Ruhang II,Balla,staff,96.0,52.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Cyath,polearm,100.0,47.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Dehtat,polearm,96.0,52.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Dokrahm,heavy blade,96.0,52.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Kronsh,polearm,114.0,43.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Mewan,polearm,114.0,43.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Ooltha,staff,100.0,47.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Plague Keewar,staff,107.0,45.0,0.25,0.18
Jayap,Vargeet Ruhang II,Plague Kripath,polearm,98.0,49.0,0.29000000000000004,0.13999999999999999
Jayap,Vargeet Ruhang II,Rabvee,hammer,114.0,43.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang II,Sepfahn,staff,100.0,47.0,0.27,0.16
Jayap,Vargeet Ruhang,Balla,staff,82.0,56.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Cyath,polearm,86.0,51.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Dehtat,polearm,82.0,56.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Dokrahm,heavy blade,82.0,56.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Kronsh,polearm,100.0,47.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Mewan,polearm,100.0,47.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Ooltha,staff,86.0,51.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Plague Keewar,staff,93.0,49.0,0.25,0.18
Jayap,Vargeet Ruhang,Plague Kripath,polearm,84.0,53.0,0.29000000000000004,0.13999999999999999
Jayap,Vargeet Ruhang,Rabvee,hammer,100.0,47.0,0.25,0.13999999999999999
Jayap,Vargeet Ruhang,Sepfahn,staff,86.0,51.0,0.27,0.16
Korb,Ekwana II Jai,Balla,dagger,92.0,57.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Cyath,machete,96.0,52.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Dehtat,rapier,92.0,57.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Dokrahm,scythe,92.0,57.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Kronsh,machete,110.0,48.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Mewan,sword,110.0,48.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Ooltha,sword,96.0,52.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Plague Keewar,scythe,103.0,50.0,0.09999999999999999,0.36
Korb,Ekwana II Jai,Plague Kripath,rapier,94.0,54.0,0.14,0.32
Korb,Ekwana II Jai,Rabvee,machete,110.0,48.0,0.09999999999999999,0.32
Korb,Ekwana II Jai,Sepfahn,weeb,96.0,52.0,0.12000000000000001,0.34
Korb,Ekwana II Ruhang,Balla,dagger,110.0,48.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Cyath,machete,114.0,43.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Dehtat,rapier,110.0,48.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Dokrahm,scythe,110.0,48.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Kronsh,machete,128.0,39.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Mewan,sword,128.0,39.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Ooltha,sword,114.0,43.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Plague Keewar,scythe,121.0,41.0,0.09999999999999999,0.36
Korb,Ekwana II Ruhang,Plague Kripath,rapier,112.0,45.0,0.14,0.32
Korb,Ekwana II Ruhang,Rabvee,machete,128.0,39.0,0.09999999999999999,0.32
Korb,Ekwana II Ruhang,Sepfahn,weeb,114.0,43.0,0.12000000000000001,0.34
Korb,Ekwana Jai II,Balla,dagger,88.0,62.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Cyath,machete,92.0,57.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Dehtat,rapier,88.0,62.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Dokrahm,scythe,88.0,62.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Kronsh,machete,106.0,53.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Mewan,sword,106.0,53.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Ooltha,sword,92.0,57.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Plague Keewar,scythe,99.0,55.0,0.13999999999999999,0.29000000000000004
Korb,Ekwana Jai II,Plague Kripath,rapier,90.0,59.0,0.18,0.25
Korb,Ekwana Jai II,Rabvee,machete,106.0,53.0,0.13999999999999999,0.25
Korb,Ekwana Jai II,Sepfahn,weeb,92.0,57.0,0.16,0.27
Korb,Ekwana Jai,Balla,dagger,92.0,57.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Cyath,machete,96.0,52.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Dehtat,rapier,92.0,57.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Dokrahm,scythe,92.0,57.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Kronsh,machete,110.0,48.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Mewan,sword,110.0,48.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Ooltha,sword,96.0,52.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Plague Keewar,scythe,103.0,50.0,0.13999999999999999,0.29000000000000004
Korb,Ekwana Jai,Plague Kripath,rapier,94.0,54.0,0.18,0.25
Korb,Ekwana Jai,Rabvee,machete,110.0,48.0,0.13999999999999999,0.25
Korb,Ekwana Jai,Sepfahn,weeb,96.0,52.0,0.16,0.27
Korb,Ekwana Ruhang II,Balla,dagger,124.0,44.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Cyath,machete,128.0,39.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Dehtat,rapier,124.0,44.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Dokrahm,scythe,124.0,44.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Kronsh,machete,142.0,35.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Mewan,sword,142.0,35.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Ooltha,sword,128.0,39.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Plague Keewar,scythe,135.0,37.0,0.13999999999999999,0.29000000000000004
Korb,Ekwana Ruhang II,Plague Kripath,rapier,126.0,41.0,0.18,0.25
Korb,Ekwana Ruhang II,Rabvee,machete,142.0,35.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang II,Sepfahn,weeb,128.0,39.0,0.16,0.27
Korb,Ekwana Ruhang,Balla,dagger,110.0,48.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Cyath,machete,114.0,43.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Dehtat,rapier,110.0,48.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Dokrahm,scythe,110.0,48.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Kronsh,machete,128.0,39.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Mewan,sword,128.0,39.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Ooltha,sword,114.0,43.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Plague Keewar,scythe,121.0,41.0,0.13999999999999999,0.29000000000000004
Korb,Ekwana Ruhang,Plague Kripath,rapier,112.0,45.0,0.18,0.25
Korb,Ekwana Ruhang,Rabvee,machete,128.0,39.0,0.13999999999999999,0.25
Korb,Ekwana Ruhang,Sepfahn,weeb,114.0,43.0,0.16,0.27
Korb,Jai II,Balla,dagger,88.0,62.0,0.18,0.18
Korb,Jai II,Cyath,machete,92.0,57.0,0.18,0.18
Korb,Jai II,Dehtat,rapier,88.0,62.0,0.18,0.18
Korb,Jai II,Dokrahm,scythe,88.0,62.0,0.18,0.18
Korb,Jai II,Kronsh,machete,106.0,53.0,0.18,0.18
Korb,Jai II,Mewan,sword,106.0,53.0,0.18,0.18
Korb,Jai II,Ooltha,sword,92.0,57.0,0.18,0.18
Korb,Jai II,Plague Keewar,scythe,99.0,55.0,0.18,0.22
Korb,Jai II,Plague Kripath,rapier,90.0,59.0,0.22,0.18
Korb,Jai II,Rabvee,machete,106.0,53.0,0.18,0.18
Korb,Jai II,Sepfahn,weeb,92.0,57.0,0.2,0.2
Korb,Jai,Balla,dagger,92.0,57.0,0.18,0.18
Korb,Jai,Cyath,machete,96.0,52.0,0.18,0.18
Korb,Jai,Dehtat,rapier,92.0,57.0,0.18,0.18
Korb,Jai,Dokrahm,scythe,92.0,57.0,0.18,0.18
Korb,Jai,Kronsh,machete,110.0,48.0,0.18,0.18
Korb,Jai,Mewan,sword,110.0,48.0,0.18,0.18
Korb,Jai,Ooltha,sword,96.0,52.0,0.18,0.18
Korb,Jai,Plague Keewar,scythe,103.0,50.0,0.18,0.22
Korb,Jai,Plague Kripath,rapier,94.0,54.0,0.22,0.18
Korb,Jai,Rabvee,machete,110.0,48.0,0.18,0.18
Korb,Jai,Sepfahn,weeb,96.0,52.0,0.2,0.2
Korb,Ruhang II,Balla,dagger,124.0,44.0,0.18,0.18
Korb,Ruhang II,Cyath,machete,128.0,39.0,0.18,0.18
Korb,Ruhang II,Dehtat,rapier,124.0,44.0,0.18,0.18
Korb,Ruhang II,Dokrahm,scythe,124.0,44.0,0.18,0.18
Korb,Ruhang II,Kronsh,machete,142.0,35.0,0.18,0.18
Korb,Ruhang II,Mewan,sword,142.0,35.0,0.18,0.18
Korb,Ruhang II,Ooltha,sword,128.0,39.0,0.18,0.18
Korb,Ruhang II,Plague Keewar,scythe,135.0,37.0,0.18,0.22
Korb,Ruhang II,Plague Kripath,rapier,126.0,41.0,0.22,0.18
Korb,Ruhang II,Rabvee,machete,142.0,35.0,0.18,0.18
Korb,Ruhang II,Sepfahn,weeb,128.0,39.0,0.2,0.2
Korb,Ruhang,Balla,dagger,110.0,48.0,0.18,0.18
Korb,Ruhang,Cyath,machete,114.0,43.0,0.18,0.18
Korb,Ruhang,Dehtat,rapier,110.0,48.0,0.18,0.18
Korb,Ruhang,Dokrahm,scythe,110.0,48.0,0.18,0.18
Korb,Ruhang,Kronsh,machete,128.0,39.0,0.18,0.18
Korb,Ruhang,Mewan,sword,128.0,39.0,0.18,0.18
Korb,Ruhang,Ooltha,sword,114.0,43.0,0.18,0.18
Korb,Ruhang,Plague Keewar,scythe,121.0,41.0,0.18,0.22
Korb,Ruhang,Plague Kripath,rapier,112.0,45.0,0.22,0.18
Korb,Ruhang,Rabvee,machete,128.0,39.0,0.18,0.18
Korb,Ruhang,Sepfahn,weeb,114.0,43.0,0.2,0.2
Korb,Vargeet II Jai,Balla,dagger,92.0,57.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Cyath,machete,96.0,52.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Dehtat,rapier,92.0,57.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Dokrahm,scythe,92.0,57.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Kronsh,machete,110.0,48.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Mewan,sword,110.0,48.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Ooltha,sword,96.0,52.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Plague Keewar,scythe,103.0,50.0,0.32,0.14
Korb,Vargeet II Jai,Plague Kripath,rapier,94.0,54.0,0.36,0.09999999999999999
Korb,Vargeet II Jai,Rabvee,machete,110.0,48.0,0.32,0.09999999999999999
Korb,Vargeet II Jai,Sepfahn,weeb,96.0,52.0,0.34,0.12000000000000001
Korb,Vargeet II Ruhang,Balla,dagger,110.0,48.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Cyath,machete,114.0,43.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Dehtat,rapier,110.0,48.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Dokrahm,scythe,110.0,48.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Kronsh,machete,128.0,39.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Mewan,sword,128.0,39.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Ooltha,sword,114.0,43.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Plague Keewar,scythe,121.0,41.0,0.32,0.14
Korb,Vargeet II Ruhang,Plague Kripath,rapier,112.0,45.0,0.36,0.09999999999999999
Korb,Vargeet II Ruhang,Rabvee,machete,128.0,39.0,0.32,0.09999999999999999
Korb,Vargeet II Ruhang,Sepfahn,weeb,114.0,43.0,0.34,0.12000000000000001
Korb,Vargeet Jai II,Balla,dagger,88.0,62.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Cyath,machete,92.0,57.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Dehtat,rapier,88.0,62.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Dokrahm,scythe,88.0,62.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Kronsh,machete,106.0,53.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Mewan,sword,106.0,53.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Ooltha,sword,92.0,57.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Plague Keewar,scythe,99.0,55.0,0.25,0.18
Korb,Vargeet Jai II,Plague Kripath,rapier,90.0,59.0,0.29000000000000004,0.13999999999999999
Korb,Vargeet Jai II,Rabvee,machete,106.0,53.0,0.25,0.13999999999999999
Korb,Vargeet Jai II,Sepfahn,weeb,92.0,57.0,0.27,0.16
Korb,Vargeet Jai,Balla,dagger,92.0,57.0,0.25,0.13999999999999999
Korb,Vargeet Jai,Cyath,machete,96.0,52.0,0.25,0.13999999999999999
Korb,Vargeet Jai,Dehtat,rapier,92.0,57.0,0.25,0.13999999999999999
Korb,Vargeet Jai,Dokrahm,scythe,92.0,57.0,0.25,0.13999999999999999
Korb,Vargeet Jai,Kronsh,machete,110.0,48.0,0.25,0.13999999999999999
